"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"528","RT @adventure_wales: Memory of the day - Sea kayaking 

#picoftheday #fun #outdoors #active #outdoorlife #fitness #fit #paddle #paddlelife…",FALSE,0,NA,2020-05-18 09:36:41,FALSE,NA,"1262316166715969538",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Clare_Rutter",1,TRUE,FALSE,NA,NA
"529","Memory of the day - Sea kayaking 

#picoftheday #fun #outdoors #active #outdoorlife #fitness #fit #paddle… https://t.co/TR4t7EZc9w",FALSE,2,NA,2020-05-18 09:32:30,TRUE,NA,"1262315115774345216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","adventure_wales",1,FALSE,FALSE,NA,NA
"530","#RISEandGRIND people its #MONDAY May 18, 2020 and Lockedin Magazine is up gearing up for another #Week! Stay… https://t.co/8PeWSCugqA",FALSE,0,NA,2020-05-18 09:30:27,TRUE,NA,"1262314596079149058",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","LockedINMag",0,FALSE,FALSE,NA,NA
"531","RT @SouthwarkGP: Inspiration and action from leaders across Europe’s cities and beyond for fundamental change.  #transport #active travel #…",FALSE,0,NA,2020-05-18 09:24:42,FALSE,NA,"1262313151644696576",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PhilVabulas",2,TRUE,FALSE,NA,NA
"532","RT @WodensfieldPri: Maths and moving, perfect for mental health week and staying active #homelearning #maths #physical #Active",FALSE,0,NA,2020-05-18 09:24:04,FALSE,NA,"1262312992420564992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AspireSportsUK",1,TRUE,FALSE,NA,NA
"533","RT @ColeshillHeath: Try these #wellbeing actives to keep you #active try the @bbcbitesize #supermovers or the @YourSchoolGames competition…",FALSE,0,NA,2020-05-18 09:16:10,FALSE,NA,"1262311001845829638",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MrRussell1981",3,TRUE,FALSE,NA,NA
"534","A bit of #MondayMotivation from <U+2066>@EmpowerYou_UP<U+2069> Trafford Lifestyle Coach Jane <f0><U+009F><U+0098><U+0086> 

If you have a learning impairmen… https://t.co/l1lA523ggI",FALSE,0,NA,2020-05-18 09:08:14,TRUE,NA,"1262309009031344128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EmpowerYou_UP",0,FALSE,FALSE,NA,NA
"535","Maths and moving, perfect for mental health week and staying active #homelearning #maths #physical #Active https://t.co/w1MfM4DYiM",FALSE,4,NA,2020-05-18 09:01:24,FALSE,NA,"1262307287231856640",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","WodensfieldPri",1,FALSE,FALSE,NA,NA
"536","Try these #wellbeing actives to keep you #active try the @bbcbitesize #supermovers or the @YourSchoolGames competit… https://t.co/RdpbnjkPal",FALSE,4,NA,2020-05-18 08:50:12,TRUE,NA,"1262304467644448769",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ColeshillHeath",3,FALSE,FALSE,NA,NA
"537","Try these #wellbeing actives from @ColeshillHeath to keep you #active try the @bbcbitesize #supermovers or the… https://t.co/P632g3ldX6",FALSE,1,NA,2020-05-18 08:49:38,TRUE,NA,"1262304325948321793",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lil_missteacher",2,FALSE,FALSE,NA,NA
"538","Sign up to Mid Sussex Marathon Virtual Fun Run! 
https://t.co/J5tCDS2aaQ
#Kids #Children #Fun #FunRun #Run #Runner… https://t.co/4DsSE28T6i",FALSE,2,NA,2020-05-18 08:45:07,TRUE,NA,"1262303188373450757",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","MidSxMarathon",0,FALSE,FALSE,NA,NA
"539","RT @sri50: #COVID19 #India, May 18 

#COVID19 cases Nearing 1 LAKH !

 #COVID19 death toll crosses 3000!

 #COVID19 Cases        96,169

#A…",FALSE,0,NA,2020-05-18 08:38:36,FALSE,NA,"1262301548203433984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mindblasteravi",20,TRUE,FALSE,NA,NA
"540","RT @TWOsonsTOOmany: the #active &amp; interactive great folks of #twitter
#FF friend follow #FridayVibes @SayaraStClair
@bawoldridge
@TimGurung…",FALSE,0,NA,2020-05-18 08:37:30,FALSE,NA,"1262301274524938246",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SayaraStClair",3,TRUE,FALSE,NA,NA
"541","do we have your attention yet?? <f0><U+009F><U+00A4><U+00A3><f0><U+009F><U+0099><U+0083>
#fun #chant #annoying #play #kids #unicorn #dance #silly #bother #payattention… https://t.co/H7Sb0lTrea",FALSE,1,NA,2020-05-18 08:29:22,TRUE,NA,"1262299226698141696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WeAreFuturepop",0,FALSE,FALSE,NA,NA
"542","RT @Liverpool_SSP: #ACTIVE | join the #LSSP #HomeOlympics 

Todays Activity:

Back Support 1/3

Keep those positive mental attitudes going!…",FALSE,0,NA,2020-05-18 08:14:04,FALSE,NA,"1262295377593675777",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SIL_statman",5,TRUE,FALSE,NA,NA
"543","RT @AnaMariFuentes: Happy to be part of this year System Chemistry Virtual Symposium @syschem20. Check out our recent work on studying the…",FALSE,0,NA,2020-05-18 08:13:05,FALSE,NA,"1262295127260827649",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LibsMarshall",9,TRUE,FALSE,NA,NA
"544","#goal #active Montessori Educational Wooden Math Toy https://t.co/hY9E6x6KxK",FALSE,0,NA,2020-05-18 08:10:12,FALSE,NA,"1262294403760238592",NA,"<a href=""https://socialrabbitplugin.com/"" rel=""nofollow"">SocialRabbit Plugin</a>","toylyhouse",0,FALSE,FALSE,NA,NA
"545","Inspiration and action from leaders across Europe’s cities and beyond for fundamental change.  #transport #active t… https://t.co/YtJhhNeJ4x",FALSE,3,NA,2020-05-18 08:05:38,TRUE,NA,"1262293253736497153",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SouthwarkGP",2,FALSE,FALSE,NA,NA
"546","RT @krulayar: Letter R Bird Logo for Sale

https://t.co/amkrqtEUiz

#alphabet #R #letter #bird #sparrow #aviation #airway #airline #aviator…",FALSE,0,NA,2020-05-18 08:02:38,FALSE,NA,"1262292500162609153",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","FrankieSoo_Logo",6,TRUE,FALSE,NA,NA
"547","Emily in Doves class and her sister designed a course around the house and with the use of the spinner in our home… https://t.co/BF5zhnDUvX",FALSE,5,NA,2020-05-18 08:02:28,TRUE,NA,"1262292457435398144",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","MaundeneSchool",0,FALSE,FALSE,NA,NA
"548","RT @krulayar: Swift Letter E Logo for Sale 
https://t.co/66krPCbWcp

#active #wear #accessories #alphabet #initial #letter #e #sports #spor…",FALSE,0,NA,2020-05-18 08:01:18,FALSE,NA,"1262292160885321728",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","FrankieSoo_Logo",4,TRUE,FALSE,NA,NA
"549","Happy #MondayMorningVibez <f0><U+009F><U+0098><U+0083> Let’s kickstart this week with some #exercise what are you doing today to stay #active… https://t.co/i1j2XySv3b",FALSE,1,NA,2020-05-18 07:56:37,TRUE,NA,"1262290986182590465",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Burnham_PE",0,FALSE,FALSE,NA,NA
"550","#ACTIVE | join the #LSSP #HomeOlympics 

Todays Activity:

Back Support 1/3

Keep those positive mental attitudes g… https://t.co/xon8szPjqy",FALSE,11,NA,2020-05-18 07:49:44,TRUE,NA,"1262289251187732480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Liverpool_SSP",5,FALSE,FALSE,NA,NA
"551","#exergames integrate physical &amp; cognitive functions hence their promise for supporting both in #OlderAdults. This s… https://t.co/7n7jsd2eoy",FALSE,1,NA,2020-05-18 07:35:03,TRUE,NA,"1262285555703975936",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","GAMONetwork",1,FALSE,FALSE,NA,NA
"552","Only visit when you mean it! <U+270C>

<U+270D> https://t.co/OvgOp89y8r

#strawberry141 #multiple #medellin #culo #curvalicious… https://t.co/ZJ5GH9uVjH",FALSE,0,NA,2020-05-18 07:33:10,TRUE,NA,"1262285082150277125",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","strawberry141_",0,FALSE,FALSE,NA,NA
"553","New Mix New Heat Is Coming Soon Stay Ready but Shh... That's between you and me ;) #new #day #new #heat #mix… https://t.co/On0vG60FqQ",FALSE,1,NA,2020-05-18 07:31:15,TRUE,NA,"1262284599452995584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TWVOfficial1",0,FALSE,FALSE,NA,NA
"554","Only visit when you mean it! <U+270C>

<U+270D> https://t.co/4kAt7NhSAv

#lazyasses #multiple #medellin #culo #curvalicious… https://t.co/ppWO1klM8a",FALSE,0,NA,2020-05-18 07:24:26,TRUE,NA,"1262282886096523264",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","lazyasses_",0,FALSE,FALSE,NA,NA
"555","On Mondays we SLAY! <f0><U+009F><U+0092><U+00AA>

#urbanflex #tip #fitness #gym #getfit #fitnessmotivation #active #motivation #gymlife… https://t.co/wFfRA5LPN2",FALSE,0,NA,2020-05-18 07:23:23,TRUE,NA,"1262282618701320192",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","UrbanFlex_SA",0,FALSE,FALSE,NA,NA
"556","RT @propeaq: Exposure to blue light in the morning significantly enhanced the cortisol awakening response compared to dim light. Morning ex…",FALSE,0,NA,2020-05-18 07:09:35,FALSE,NA,"1262279146258010112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","toineschoutens",1,TRUE,FALSE,NA,NA
